name, dist, ra, dec, type, magG, magG_err, magI, magI_err, g-i, gi_err, re, re_err, mue, mue_err, star mask, DTRGB, cz, Other names

dw1234+2627, 11.9, 12:34:25.0, 26:27:16.4, dE, 21.85, 0.26, 21.38, 0.26, 0.47, 0.09, 3.7, 0.6, 26.76, 0.26, N
dw1234+2618, 11.9, 12:34:57.6, 26:18:50.8, dI, 20.25, 0.06, 19.92, 0.05, 0.33, 0.03, 4.6, 0.2, 25.6, 0.11, N
dw1235+2616, 11.9, 12:35:22.3, 26:16:14.2, dE, 20.54, 0.13, 20.02, 0.15, 0.52, 0.03, 4.5, 0.9, 25.59, 0.23, N
NGC4562    , 11.9, 12:35:34.7, 25:51:01.3, Im, 13.5, 0.01, 13.04, 0.01, 0.46, 0.01, 35.4, 0.1, 22.18, 0.01, N, 1353(a)
dw1235+2534, 11.9, 12:35:37.5, 25:34:12.2, dE, 21.93, 0.21, 21.57, 0.22, 0.36, 0.09, 4.3, 0.8, 26.64, 0.28, N
dw1235+2637, 11.9, 12:35:42.2, 26:37:14.7, dE, 21.68, 0.31, 21.61, 0.43, 0.07, 0.25, 6.7, 1.7, 27.49, 0.26, N
dw1235+2609, 11.9, 12:35:55.2, 26:09:55.4, dE, 22.74, 0.21, 22.34, 0.25, 0.4, 0.08, 3.0, 0.5, 26.97, 0.26, N
dw1235+2606, 11.9, 12:35:56.4, 26:06:52.3, dI, 19.06, 0.3, 18.96, 0.33, 0.1, 0.16, 27.5, 4.1, 27.98, 0.24, N
dw1236+2616, 11.9, 12:36:05.9, 26:16:25.7, dE, 22.88, 0.15, 22.4, 0.12, 0.48, 0.06, 3.0, 0.2, 26.35, 0.18, N
IC3571     , 11.9, 12:36:20.0, 26:05:03.5, dI, 16.6, , 16.4, , 0.16, , 8.5, , 23.1, , N, , 1202(a)
dw1236+2603, 11.9, 12:36:25.2, 26:03:18.7, dE, 21.45, 0.19, 21.17, 0.2, 0.28, 0.07, 4.5, 0.7, 26.63, 0.19, N
dw1236+2634, 11.9, 12:36:58.6, 26:34:42.8, dE, 21.17, 0.18, 20.67, 0.19, 0.51, 0.04, 4.7, 0.5, 26.2, 0.15, N
dw1237+2602, 11.9, 12:37:01.2, 26:02:09.6, dE_N, 17.96, 0.06, 17.57, 0.07, 0.39, 0.01, 8.4, 0.6, 24.3, 0.13, N
dw1237+2605, 11.9, 12:37:26.8, 26:05:08.7, dE_N, 19.77, 0.32, 19.35, 0.35, 0.42, 0.07, 13.2, 3.4, 26.98, 0.26, N
dw1237+2637, 11.9, 12:37:42.8, 26:37:27.6, dE, 20.23, 0.08, 19.7, 0.1, 0.53, 0.06, 4.9, 0.6, 25.12, 0.1, N
dw1237+2631, 11.9, 12:37:54.6, 26:31:08.0, dE, 22.51, 0.36, 22.07, 0.32, 0.44, 0.09, 2.7, 0.3, 25.88, 0.11, N
dw1238+2610, 11.9, 12:38:39.6, 26:10:01.0, dE, 21.98, 0.29, 21.54, 0.3, 0.44, 0.09, 4.7, 0.5, 26.9, 0.23, N
dw1238+2536, 11.9, 12:38:54.6, 25:36:56.2, dE, 20.92, 0.07, 20.47, 0.09, 0.45, 0.08, 3.5, 0.2, 25.13, 0.11, N

UGCA292    , 7.4, 12:38:40.4, 32:45:52.7, dI, 15.8, , 15.7, , 0.16, , 34.2, , 25.4, , N, 3.6(d), 307(a), CVn I dwA
dw1239+3230, 7.4, 12:39:05.0, 32:30:16.5, dE/I, 19.09, 0.09, 18.8, 0.08, 0.29, 0.03, 8.0, 0.5, 25.78, 0.06, N
dw1239+3251, 7.4, 12:39:19.6, 32:51:39.3, dE, 20.03, 0.31, 19.45, 0.27, 0.58, 0.11, 13.7, 2.8, 27.24, 0.15, N
dw1240+3239, 7.4, 12:40:09.9, 32:39:31.6, dI, 16.0, 0.03, 15.77, 0.03, 0.23, 0.02, 18.3, 0.4, 23.9, 0.04, N, 776(a), HSC-7 (c)
dw1240+3216, 7.4, 12:40:53.0, 32:16:55.9, dE, 19.0, 0.1, 18.5, 0.09, 0.5, 0.05, 8.7, 0.6, 25.14, 0.08, N
dw1240+3247, 7.4, 12:40:58.5, 32:47:25.0, dE, 16.07, 0.64, 15.5, 0.42, 0.57, 0.33, 71.1, 19.1, 26.65, 0.26, N, HSC-9(c)
dw1241+3251, 7.4, 12:41:47.1, 32:51:27.3, dI, 15.7, 0.05, 15.56, 0.07, 0.14, 0.02, 18.0, 0.9, 23.76, 0.04, N, 696(a), HSC-8(c)
NGC4627    , 7.4, 12:41:59.7, 32:34:26.2, dE?, 12.8, , 12.5, , 0.37, , 27.1, , 22.0, , N, 813(b)
dw1242+3224, 7.4, 12:42:01.6, 32:24:06.4, dI, 20.1, 0.07, 19.99, 0.15, 0.1, 0.11, 3.7, 0.1, 24.53, 0.14, N
dw1242+3237, 7.4, 12:42:06.2, 32:37:18.7, dE, 18.88, 0.43, 18.47, 0.45, 0.4, 0.17, 18.4, 2.8, 27.05, 0.19, N, HSC-11(c)
dw1242+3231, 7.4, 12:42:28.4, 32:31:51.1, dI?, 17.07, 0.18, 16.64, 0.18, 0.43, 0.01, 11.2, 1.8, 24.12, 0.18, N
