z,log_mstar,logstellardens,sigma
0.1017,10.6754,8.84891,159.3373
0.12982,10.8938,9.03448,139.3105
0.14304,10.8465,8.65169,74.8076
0.08396,11.469,9.07995,263.03839
0.05276,10.7196,8.2689,91.4976
0.1266,11.0095,8.80977,127.8754
0.05579,10.9298,9.39528,190.7659
0.08385,10.4873,8.77893,74.1694
0.05252,10.8716,8.49544,103.6929
0.0838,10.6551,9.26361,150.4449
0.15554,11.229,8.56392,158.22211
0.09832,10.802,8.92728,116.0671
0.09592,11.6066,9.10096,265.34869
0.07523,10.5781,8.84982,121.2882
0.09326,10.614,8.87004,95.0574
0.12549,10.901,8.95618,188.78239
0.09491,10.4986,8.59171,77.1277
0.0446,10.7546,8.86473,152.3844
0.12729,10.948,8.88233,168.7093
0.09467,11.111,9.06806,170.9384
0.09472,11.5948,8.88907,228.9437
0.0947,10.4808,8.8794,122.6647
0.09332,10.4263,8.82197,89.586
0.09224,10.923,8.76586,159.578
0.09184,10.8526,9.33937,211.707
0.05595,10.9462,8.93597,108.884
0.06271,10.0864,8.40185,77.8025
0.09502,10.4249,8.53486,58.6822
0.06347,10.3009,8.40137,83.5367
0.04487,9.8732,8.89095,58.6794
0.07112,10.3229,8.54048,110.1462
0.06172,10.5658,8.58461,130.4288
0.06368,10.7109,9.0568,198.27499
0.04709,10.8548,8.75663,89.7563
0.09228,11.1708,8.97429,168.8593
0.10786,10.7626,8.68373,179.9111
0.06357,11.1335,9.5487,345.4043
0.18169,11.0867,8.86768,124.0919
0.03299,10.6643,9.14137,134.4735
0.09398,10.6865,8.74946,142.0932
0.11409,10.5858,8.66472,111.2794
0.061,10.736,9.39458,150.5217
0.0988,10.6584,8.51503,98.2705
0.09798,10.5927,8.76927,127.4825
0.12445,11.0208,8.97425,167.2825
0.04992,9.77,8.58894,85.1302
0.12597,10.8018,8.81258,126.0661
0.04573,10.6407,9.18968,191.32719
0.08366,10.625,8.4148,95.0542
0.2016,11.4081,8.77405,70.4567
0.07078,10.7529,8.91612,161.27049
0.05992,10.8591,9.66929,261.47281
0.14534,11.3458,9.22777,254.67509
0.06926,10.6342,9.05796,125.5877
0.05961,10.5858,9.23227,142.6837
0.0464,10.4111,8.59828,91.6396
0.05831,10.8375,8.27998,84.4269
0.08475,10.7504,8.69535,160.2283
0.08444,10.7968,9.13425,130.17999
0.0626,10.1373,8.75425,54.5927
0.20436,11.4578,9.0713,233.0192
0.14281,11.3571,9.08485,230.83389
0.08604,10.9212,8.8141,169.5023
0.07146,10.7067,8.99276,141.2088
0.07171,11.519,9.16722,234.6826
0.10217,10.5052,8.80428,86.829
0.09653,10.3318,8.8143,119.9963
0.0637,10.262,8.82856,125.6154
0.07033,10.6258,8.63747,110.6285
0.07072,10.9162,9.15569,213.1256
0.07054,10.5836,8.57641,83.4048
0.09781,10.8288,8.79471,111.3186
0.09273,10.4839,8.47033,90.7656
0.09677,10.5035,8.2194,66.1493
0.07928,10.9031,8.6859,132.1895
0.09698,10.6286,8.71603,124.4273
0.09757,10.6331,8.87647,143.09689
0.07214,10.2338,8.80479,85.5124
0.07149,10.8369,8.96162,170.8331
0.11627,11.0139,8.7685,258.52359
0.121,11.1197,8.99675,191.1875
0.09808,11.0879,8.72981,128.89
0.09515,10.8575,8.7666,127.5497
0.1168,10.8738,8.49549,89.9938
0.09595,11.1111,8.85819,177.772
0.06968,10.4795,8.87411,126.9977
0.06264,10.4762,8.60847,88.7815
0.07059,10.7558,9.16425,224.9606
0.11411,10.4998,8.28179,98.7646
0.14717,11.2916,8.71943,187.9787
0.06211,10.401,8.94632,117.9408
0.04848,10.8785,9.00855,164.6888
0.09538,10.5573,8.74868,96.8513
0.09648,10.8854,9.22993,209.57359
0.09554,11.0761,8.49958,132.08479
0.06315,10.51,8.65297,82.1725
0.09293,10.5317,9.10991,135.45779
0.11539,10.7874,8.70072,134.2487
0.09822,10.5883,8.86234,127.6134
0.18802,11.1655,8.99721,175.75771
0.11963,10.8376,9.13639,170.0016
0.09604,10.763,8.97314,155.601
0.0534,10.9515,8.8575,111.3757
0.06456,10.8425,8.65968,115.8377
0.05315,10.5109,9.08205,111.8835
0.09389,11.0228,8.96635,145.69881
0.11337,11.3356,9.05824,398.2099
0.02136,10.2006,8.96557,89.2163
0.0965,10.3491,8.71192,70.1196
0.11213,10.7152,8.9319,154.5072
0.09526,10.7194,8.96419,148.7292
0.07848,10.4183,9.01482,92.1636
0.06592,11.3523,8.64258,160.36099
0.07102,10.5352,8.89207,110.8625
