catid logMstar
228609 9.72683
228614 10.4751
228708 11.0174
228742 9.44963
22883 10.4751
228890 10.5399
229066 10.0358
229145 10.1184
229164 10.6121
229220 8.82991
229417 10.7485
230207 10.1285
230259 9.5916
230260 11.0833
230262 10.3135
230289 10.8014
230418 9.74878
230421 10.5533
230422 10.4851
230453 10.1664
230455 11.0332
230458 10.0032
23047 10.0086
230556 10.9984
230558 10.1717
230567 11.0333
230675 11.0851
230683 9.97905
23070 10.8727
230776 11.5087
230777 9.39872
230786 9.9472
230787 9.37778
230789 9.52884
230796 9.302
230797 8.85895
23082 11.1153
230903 10.3564
230904 10.2071
23114 9.93667
23117 11.1538
23118 10.3069
231349 10.6442
231527 9.74701
231528 10.9195
231529 10.5752
23153 10.8907
231729 9.60462
23180 10.8245
231823 11.0754
231834 10.1994
231903 10.0304
23265 10.9613
23266 10.4068
23276 10.2787
23278 10.1006
23319 10.6114
23341 11.0263
23381 10.8807
23484 9.94069
23623 11.3178
23630 9.99549
23751 10.4957
238118 11.0008
238119 9.02802
238123 10.6308
238130 10.483
238155 10.1348
238198 9.99143
238205 9.55161
238209 10.347
238211 10.9689
238212 10.9024
238213 11.1846
238214 9.91017
238217 9.88005
238218 9.97441
238219 9.65893
238276 10.6206
238278 9.93055
238282 10.4977
238316 9.88595
238317 10.438
238325 10.2089
238398 10.0711
238409 9.56548
238411 9.65573
238453 10.7047
238458 11.2596
238499 10.7947
238500 10.1672
238510 9.49263
238511 9.83774
23878 9.37331
238804 9.3225
238922 10.7397
238958 10.444
239090 10.7523
239106 10.3012
239151 10.245
239264 9.46441
239292 10.0137
239418 10.8005
239610 10.5361
240021 9.84042
240049 10.1811
240200 10.2487
24026 10.6068
240523 10.4854
24060 9.66752
240601 9.72064
24102 10.2331
24200 9.7303
24348 10.0898
24401 10.0857
249572 9.97798
249829 10.2624
249915 9.05894
249934 10.7072
250046 10.2612
250122 10.9825
250132 10.6432
250166 10.4812
250179 10.1951
250183 10.2343
250184 10.4116
250186 10.0434
250189 9.99307
250226 9.38408
250228 10.4662
250237 10.9039
250239 11.0424
250241 9.5398
250243 10.0715
250245 9.50955
250246 10.0486
250247 10.4243
250248 8.51363
250250 11.0938
250251 11.1279
250252 10.7922
250255 10.0055
250257 9.44722
250258 9.38103
250268 10.2411
250269 9.75399
250270 10.3532
250273 9.73892
250276 10.1633
250278 9.19056
250279 9.63721
250292 9.15394
250320 9.65416
250325 9.45201
250329 11.0046
250331 9.75898
250336 10.5887
250337 9.52608
250378 10.4221
250396 10.0612
250464 10.3962
250471 9.75528
250472 10.4254
250568 9.90647
250608 10.4264
250663 9.86194
250665 10.07
250800 10.3123
250834 10.163
250843 10.3325
250845 10.7449
251013 10.5389
251020 10.9529
251021 9.68072
251024 9.32164
251073 10.1012
251075 10.6289
251225 9.83551
251227 9.64263
251268 10.8513
251269 9.94581
251384 10.5158
251536 10.8372
251889 9.72518
251999 10.7755
252017 10.9613
252057 9.95133
252060 8.6922
252182 10.6551
252249 10.1997
252305 10.4709
260801 9.76412
260906 9.95807
261077 10.4559
261219 10.1095
261301 10.0109
261339 10.2247
261410 10.8166
261413 9.95133
261418 9.95649
261477 9.85126
261480 9.76247
261521 10.7204
261522 9.37935
261545 10.0698
261575 10.3236
261673 10.3985
261697 10.1552
261718 10.6668
261720 10.6617
261772 9.27761
261911 9.41624
261984 10.5132
262011 10.2454
262012 10.1219
262013 9.79197
262017 11.031
262021 10.295
262043 10.321
262089 9.2975
262132 9.83051
262157 10.5249
262220 10.6291
262291 10.109
262298 11.1698
262299 9.43817
262301 10.0811
262340 10.5049
262344 10.6334
262361 10.2003
262397 10.9557
262536 10.7568
262729 8.79274
263070 10.6913
263071 10.6116
263144 9.868
263146 9.96537
263175 10.207
263201 10.1243
265087 10.3366
265124 10.07
265179 10.2405
265203 10.2874
265388 10.599
265426 10.3569
265428 10.1668
265532 10.0771
265581 10.0941
265769 10.3817
265799 10.6327
265941 10.5879
265943 10.1391
265977 10.8665
266033 10.2663
266071 10.0351
266075 9.89087
266158 10.8111
266245 9.39467
266252 11.1118
266335 10.3031
266337 10.345
266426 9.8556
266470 10.4109
266657 10.3677
266659 10.7587
266660 8.69425
266791 9.93485
266824 10.3445
266881 10.9884
266885 9.84069
266906 11.0688
266910 10.7076
266912 10.8765
266954 10.1245
266984 9.30247
267010 9.95507
267011 10.1509
267014 9.88112
267194 10.3424
267518 10.0861
267602 10.6235
271421 10.0332
271424 9.59783
271427 10.5847
271538 10.949
271591 10.77
271610 9.37104
271611 10.883
271617 10.5546
271948 10.0327
271977 11.056
272043 10.1885
