Number,Galaxy,Band,M/L,Type,n_maj,Re_maj,mue_maj,logIe_maj,n_eq,Re_eq,mue_eq,logIe_eq,C,scale,logM*_sph,Dist,logMbh,Ref
23,NGC 4291a,3.6 μm,"(0.6, 3.26)",E,4.20,15.00,17.14,2.86,5.90,15.40,17.51,2.71,0.70,0.1228,10.71+/-0.26,25.5,8.52+/-0.36,SG16
24,NGC 4374a,3.6 μm,"(0.6, 3.26)",E,7.80,101.60,19.01,2.11,7.90,129.8,19.57,1.89,0.60,0.0864,11.49+/-0.26,17.9,8.95+/-0.05,SG16
25,NGC 4459,3.6 μm,"(0.6, 3.26)",S0,3.10,18.40,16.69,3.04,2.60,13.00,16.23,3.22,0.34,0.0758,10.48+/-0.26,15.7,7.83+/-0.09,SG16
26,NGC 4472a,3.6 μm,"(0.6, 3.26)",E,6.60,190.20,19.33,1.98,5.40,135.30,18.83,2.18,0.44,0.0825,11.7+/-0.12,17.1,9.40+/-0.05,SG16
27,NGC 4473,3.6 μm,"(0.6, 3.26)",E,2.30,45.90,17.93,2.54,2.90,36.90,18.10,2.47,0.46,0.0739,10.64+/-0.26,15.3,8.08+/-0.36,SG16
28,NGC 4486a,3.6 μm,"(0.6, 3.26)",E,10.00,203.00,19.87,1.77,5.90,87.10,18.26,2.41,0.33,0.0753,11.49+/-0.26,16.8,9.81+/-0.05,SG16
29,NGC 4564,3.6 μm,"(0.6, 3.26)",S0,2.60,5.00,15.23,3.62,3.00,6.00,15.65,3.45,0.45,0.0705,10.01+/-0.12,14.6,7.78+/-0.06,SG16
30,NGC 4596,3.6 μm,"(0.6, 3.26)",SB0,2.70,6.60,15.93,3.34,3.00,9.00,16.44,3.14,0.44,0.082,10.18+/-0.12,17.0,7.90+/-0.20,SG16
31,NGC 4621,3.6 μm,"(0.6, 3.26)",E,5.50,48.00,18.02,2.51,8.80,90.90,19.67,1.85,0.87,0.0859,11.16+/-0.12,17.8,8.59+/-0.05,SG16
32,NGC 4697,3.6 μm,"(0.6, 3.26)",E,7.20,239.30,20.62,1.47,6.70,226.40,20.90,1.35,0.53,0.0551,11.01+/-0.33,11.4,8.26+/-0.05,SG16
33,NGC 4889a,3.6 μm,"(0.6, 3.26)",E,8.10,119.70,21.01,1.33,6.80,60.80,20.11,1.69,0.48,0.4863,12.14+/-0.12,103.2,10.32+/-0.44,SG16
34,NGC 5077a,3.6 μm,"(0.6, 3.26)",E,4.20,23.50,17.67,2.65,5.70,23.00,18.01,2.52,0.68,0.1975,11.28+/-0.12,41.2,8.87+/-0.22,SG16
