##########################################################################################################################################
#
# This is the online data table for the paper Jin et. al (2019)
# "SDSS-IV MaNGA: Internal mass distributions and orbital structures of early-type galaxies and their dependence on environment"
#
#############################################################################################################################################
#
# The major properties of all the galaxies in our sample and the corresponding modelling results.
# From top to bottom, the first 105 galaxies are centrals while others are satellites.
# From left to right, they are:
# (1) MaNGA ID;
# (2) the total stellar mass "log(M*/Msun)";
# (3) the effective radius "Re";
# (4) the dark matter fraction within one effective radius "f_DM";
# (5) the medium to long axis ratio "p_e", "q_e" and the triaxial parameter "T_e" at one effective radius;
# (6) the fractions of orbits "f_cold", "f_warm", "f_hot" and "f_CR";
# (7) the fractions of orbits "f_prolong}", "f_CRlong", "f_box" and "f_SR".
#
##############################################################################################################################################
#         |            |         |       |       |        |        |        |        |         |      |           |          |       |      |
# MaNGAID |log(M*/Msun)| Re(kpc) | f_DM  |  p_e  |   q_e  |   T_e  | f_cold | f_warm |  f_hot  | f_CR | f_prolong | f_CRlong | f_box | f_SR |
#         |            |         |       |       |        |        |        |        |         |      |           |          |       |      |
##############################################################################################################################################
1-260010      10.42      2.36     0.067    0.934    0.801    0.355    0.140    0.463    0.387    0.008    0.108      0.100    0.100    0.077
1-546873      10.59      2.60     0.031    0.928    0.792    0.372    0.066    0.534    0.355    0.045    0.123      0.066    0.124    0.042
1-323055      10.75      2.16     0.006    1.000    0.763    0.002    0.171    0.368    0.242    0.220    0.002      0.001    0.141    0.096
1-248289      11.01      3.10     0.007    0.999    0.391    0.002    0.198    0.407    0.242    0.152    0.000      0.000    0.073    0.169
1-114334      10.34      1.20     0.026    0.999    0.390    0.002    0.103    0.472    0.254    0.173    0.000      0.000    0.056    0.196
1-274646      10.50      2.17     0.138    0.896    0.785    0.514    0.061    0.099    0.656    0.184    0.085      0.054    0.459    0.059
1-259185      11.70      13.30    0.592    0.730    0.683    0.876    0.039    0.044    0.829    0.089    0.177      0.225    0.306    0.121
1-548033      11.56      8.68     0.023    1.000    0.973    0.008    0.105    0.317    0.464    0.115    0.000      0.013    0.132    0.318
1-24476       10.80      4.64     0.256    0.783    0.640    0.655    0.032    0.175    0.662    0.132    0.154      0.069    0.286    0.152
1-94168       11.12      5.30     0.026    0.979    0.958    0.523    0.023    0.253    0.614    0.113    0.155      0.137    0.184    0.137
1-285062      10.50      1.37     0.214    0.935    0.809    0.365    0.077    0.191    0.636    0.095    0.137      0.110    0.330    0.059
1-47248       11.36      6.13     0.623    0.846    0.799    0.789    0.099    0.127    0.721    0.052    0.161      0.164    0.167    0.228
1-235587      10.57      2.02     0.534    0.897    0.798    0.539    0.071    0.256    0.579    0.093    0.136      0.133    0.214    0.095
1-24099       10.46      1.69     0.051    0.935    0.558    0.182    0.381    0.305    0.238    0.076    0.056      0.000    0.154    0.026
1-114928      10.84      2.51     0.025    0.869    0.511    0.331    0.037    0.614    0.315    0.035    0.063      0.041    0.141    0.068
1-211100      10.71      1.85     0.154    0.835    0.658    0.536    0.008    0.289    0.635    0.070    0.083      0.047    0.411    0.093
1-137853      11.17      4.27     0.503    0.861    0.741    0.573    0.020    0.135    0.751    0.097    0.173      0.089    0.386    0.104
1-277161      10.60      1.80     0.117    0.960    0.511    0.105    0.099    0.583    0.244    0.075    0.011      0.002    0.141    0.088
1-277539      10.95      4.74     0.492    0.819    0.724    0.691    0.091    0.135    0.724    0.051    0.210      0.119    0.278    0.118
1-38347       10.88      2.13     0.384    0.640    0.530    0.821    0.028    0.075    0.886    0.011    0.116      0.141    0.418    0.211
1-339132      11.33      5.12     0.106    0.840    0.758    0.692    0.018    0.236    0.730    0.014    0.129      0.146    0.306    0.149
1-43723       11.15      4.03     0.062    0.822    0.591    0.499    0.017    0.495    0.477    0.012    0.066      0.154    0.198    0.059
1-338746      10.45      1.35     0.040    0.940    0.876    0.497    0.128    0.146    0.616    0.109    0.114      0.169    0.204    0.128
1-558471      10.45      2.11     0.257    0.857    0.779    0.677    0.086    0.385    0.492    0.037    0.178      0.168    0.087    0.058
1-137853      11.16      4.27     0.826    0.848    0.781    0.721    0.031    0.060    0.845    0.063    0.213      0.091    0.327    0.214
1-148127      11.44      6.09     0.697    0.880    0.810    0.655    0.046    0.181    0.669    0.103    0.167      0.141    0.196    0.166
1-95092       10.98      3.10     0.112    0.972    0.556    0.080    0.433    0.346    0.204    0.019    0.020      0.003    0.089    0.092
1-210962      11.24      5.14     0.237    0.703    0.633    0.843    0.037    0.169    0.726    0.068    0.174      0.207    0.199    0.144
1-210802      10.62      1.88     0.030    0.937    0.412    0.147    0.000    0.596    0.307    0.096    0.022      0.015    0.182    0.086
1-247628      10.89      3.40     0.123    0.684    0.606    0.843    0.017    0.179    0.752    0.052    0.127      0.136    0.283    0.207
1-211059      10.85      2.48     0.088    0.930    0.613    0.216    0.093    0.372    0.459    0.076    0.043      0.050    0.257    0.110
1-135503      10.82      2.83     0.342    0.972    0.920    0.367    0.045    0.484    0.385    0.086    0.086      0.093    0.144    0.062
1-284523      10.88      2.21     0.001    0.962    0.790    0.200    0.110    0.460    0.331    0.100    0.058      0.035    0.173    0.063
1-594483      11.13      3.78     0.417    0.972    0.945    0.517    0.057    0.147    0.703    0.091    0.162      0.112    0.263    0.165
1-594528      11.01      2.98     0.034    0.999    0.337    0.002    0.117    0.609    0.203    0.069    0.002      0.000    0.086    0.114
1-210773      10.82      2.33     0.114    0.962    0.845    0.264    0.104    0.302    0.469    0.125    0.103      0.081    0.234    0.051
1-211079      10.62      1.62     0.065    0.930    0.817    0.406    0.091    0.300    0.506    0.101    0.151      0.095    0.156    0.104
1-210863      11.05      3.53     0.475    0.894    0.744    0.450    0.039    0.117    0.649    0.193    0.150      0.080    0.317    0.100
1-135794      10.63      1.68     0.091    0.956    0.406    0.102    0.236    0.434    0.222    0.107    0.006      0.010    0.139    0.068
1-133987      10.36      1.16     0.001    0.963    0.874    0.306    0.019    0.382    0.448    0.152    0.094      0.085    0.183    0.086
1-233721      10.84      3.51     0.132    0.848    0.506    0.378    0.157    0.232    0.428    0.182    0.070      0.037    0.210    0.110
1-135055      11.24      3.81     0.060    0.802    0.663    0.638    0.015    0.226    0.688    0.072    0.171      0.112    0.292    0.110
1-210784      10.90      3.50     0.277    0.999    0.848    0.007    0.081    0.324    0.498    0.096    0.021      0.000    0.098    0.379
1-210728      10.45      2.94     0.193    0.833    0.743    0.681    0.102    0.050    0.663    0.185    0.143      0.165    0.248    0.107
1-210731      10.79      1.89     0.093    0.891    0.472    0.265    0.082    0.455    0.366    0.096    0.067      0.021    0.176    0.104
1-210774      11.05      4.88     0.196    0.816    0.743    0.747    0.047    0.191    0.681    0.080    0.186      0.173    0.196    0.129
1-210785      11.01      5.18     0.067    0.930    0.765    0.325    0.062    0.441    0.436    0.060    0.090      0.098    0.187    0.062
1-604037      9.90       1.30     0.196    0.926    0.372    0.165    0.232    0.519    0.201    0.050    0.017      0.000    0.124    0.059
1-135157      10.84      2.76     0.042    0.878    0.427    0.280    0.116    0.487    0.327    0.069    0.035      0.029    0.169    0.095
1-135129      10.89      3.85     0.164    0.901    0.359    0.217    0.004    0.654    0.291    0.050    0.031      0.012    0.144    0.105
1-210701      10.83      2.02     0.118    0.908    0.547    0.251    0.029    0.615    0.311    0.045    0.035      0.047    0.156    0.073
1-210752      10.40      2.27     0.131    0.937    0.430    0.150    0.061    0.609    0.267    0.065    0.016      0.010    0.171    0.070
1-258750      10.62      2.20     0.067    0.941    0.509    0.154    0.029    0.517    0.390    0.063    0.025      0.026    0.135    0.204
1-542351      11.35      10.94    0.528    0.780    0.652    0.681    0.008    0.183    0.718    0.089    0.222      0.141    0.254    0.099
